STATIONS_ID;MESS_DATUM;QN_3;   F;   D;eor
722;2023051701;10;10.4;310;eor
722;2023051702;10;9.1;320;eor
722;2023051703;10;9.9;320;eor
722;2023051704;10;11.3;320;eor
722;2023051705;10;10.5;320;eor
722;2023051706;10;12.1;320;eor
722;2023051707;10;11.1;330;eor
722;2023051708;10;11.3;330;eor
722;2023051709;10;10.1;330;eor
722;2023051710;10;10.3;330;eor
722;2023051711;10;10.6;330;eor
722;2023051712;10;8.8;330;eor
722;2023051713;10;9.4;340;eor
722;2023051714;10;9.2;330;eor
722;2023051715;10;9.0;340;eor
722;2023051716;10;8.4;340;eor
722;2023051717;10;8.4;350;eor
722;2023051718;10;8.1;350;eor
722;2023051719;10;8.2;340;eor
722;2023051720;10;8.3;340;eor
722;2023051721;10;7.7;330;eor
722;2023051722;10;7.4;350;eor
722;2023051723;10;6.3;360;eor
722;2023051800;10;3.7;10;eor
722;2023051801;10;1.7;70;eor
722;2023051802;10;2.8;90;eor
722;2023051803;10;3.2;90;eor
722;2023051804;10;3.0;100;eor
722;2023051805;10;2.9;110;eor
722;2023051806;10;3.5;100;eor
722;2023051807;10;3.5;110;eor
722;2023051808;10;3.0;150;eor
722;2023051809;10;2.5;160;eor
722;2023051810;10;3.3;120;eor
722;2023051811;10;3.8;60;eor
722;2023051812;10;4.3;50;eor
722;2023051813;10;5.0;50;eor
722;2023051814;10;5.1;60;eor
722;2023051815;10;5.6;70;eor
722;2023051816;10;6.0;70;eor
722;2023051817;10;6.5;70;eor
722;2023051818;10;6.9;70;eor
722;2023051819;10;6.7;60;eor
722;2023051820;10;7.2;60;eor
722;2023051821;10;7.9;70;eor
722;2023051822;10;8.4;70;eor
722;2023051823;10;7.7;70;eor
722;2023051900;10;7.3;70;eor
722;2023051901;10;7.7;80;eor
722;2023051902;10;7.7;80;eor
722;2023051903;10;7.6;90;eor
722;2023051904;10;8.2;90;eor
722;2023051905;10;7.4;90;eor
722;2023051906;10;7.3;90;eor
722;2023051907;10;8.3;90;eor
722;2023051908;10;8.9;90;eor
722;2023051909;10;8.5;90;eor
722;2023051910;10;8.0;80;eor
722;2023051911;10;8.6;80;eor
722;2023051912;10;8.7;70;eor
722;2023051913;10;8.6;60;eor
722;2023051914;10;9.2;60;eor
722;2023051915;10;9.6;70;eor
722;2023051916;10;9.6;70;eor
722;2023051917;10;9.6;80;eor
722;2023051918;10;10.2;80;eor
722;2023051919;10;11.0;80;eor
722;2023051920;10;10.9;80;eor
722;2023051921;10;11.3;90;eor
722;2023051922;10;12.5;90;eor
722;2023051923;10;12.1;90;eor
722;2023052000;10;11.0;90;eor
722;2023052001;10;10.1;90;eor
722;2023052002;10;9.2;80;eor
722;2023052003;10;8.4;70;eor
722;2023052004;10;9.4;80;eor
722;2023052005;10;9.3;70;eor
722;2023052006;10;9.8;70;eor
722;2023052007;10;9.4;80;eor
722;2023052008;10;9.2;80;eor
722;2023052009;10;8.8;60;eor
722;2023052010;10;10.3;60;eor
722;2023052011;10;10.0;60;eor
722;2023052012;10;10.0;60;eor
722;2023052013;10;9.9;60;eor
722;2023052014;10;9.5;60;eor
722;2023052015;10;9.4;60;eor
722;2023052016;10;9.7;60;eor
722;2023052017;10;9.9;60;eor
722;2023052018;10;10.7;60;eor
722;2023052019;10;10.8;60;eor
722;2023052020;10;11.3;70;eor
722;2023052021;10;11.2;80;eor
722;2023052022;10;10.9;90;eor
722;2023052023;10;9.3;100;eor
722;2023052100;10;9.3;130;eor
722;2023052101;10;10.9;130;eor
722;2023052102;10;10.6;140;eor
722;2023052103;10;10.2;140;eor
722;2023052104;10;9.7;140;eor
722;2023052105;10;9.8;140;eor
722;2023052106;10;9.5;140;eor
722;2023052107;10;9.3;130;eor
722;2023052108;10;10.9;140;eor
722;2023052109;10;10.1;130;eor
722;2023052110;10;7.1;120;eor
722;2023052111;10;6.6;100;eor
722;2023052112;10;6.8;100;eor
722;2023052113;10;7.7;90;eor
722;2023052114;10;9.7;90;eor
722;2023052115;10;10.1;90;eor
722;2023052116;10;9.2;80;eor
722;2023052117;10;10.1;90;eor
722;2023052118;10;8.2;90;eor
722;2023052119;10;9.0;90;eor
722;2023052120;10;10.3;100;eor
722;2023052121;10;11.8;110;eor
722;2023052122;10;12.0;120;eor
722;2023052123;10;12.3;130;eor
722;2023052200;10;12.7;140;eor
722;2023052201;10;12.7;140;eor
722;2023052202;10;10.9;150;eor
722;2023052203;10;9.8;160;eor
722;2023052204;10;9.7;160;eor
722;2023052205;10;9.6;160;eor
722;2023052206;10;9.0;150;eor
722;2023052207;10;7.9;150;eor
722;2023052208;10;7.7;150;eor
722;2023052209;10;7.8;130;eor
722;2023052210;10;8.1;120;eor
722;2023052211;10;8.3;120;eor
722;2023052212;10;7.9;120;eor
722;2023052213;10;7.4;120;eor
722;2023052214;10;6.6;130;eor
722;2023052215;10;7.1;100;eor
722;2023052216;10;7.4;90;eor
722;2023052217;10;6.2;90;eor
722;2023052218;10;6.1;120;eor
722;2023052219;10;6.8;150;eor
722;2023052220;10;5.7;190;eor
722;2023052221;10;9.0;220;eor
722;2023052222;10;4.8;300;eor
722;2023052223;10;4.0;270;eor
722;2023052300;10;3.6;240;eor
722;2023052301;10;5.9;300;eor
722;2023052302;10;8.0;290;eor
722;2023052303;10;9.9;290;eor
722;2023052304;10;10.8;280;eor
722;2023052305;10;13.2;280;eor
722;2023052306;10;14.1;280;eor
722;2023052307;10;12.7;290;eor
722;2023052308;10;12.0;290;eor
722;2023052309;10;11.3;300;eor
722;2023052310;10;11.1;300;eor
722;2023052311;10;10.3;310;eor
722;2023052312;10;10.4;310;eor
722;2023052313;10;10.1;310;eor
722;2023052314;10;9.8;310;eor
722;2023052315;10;11.3;310;eor
722;2023052316;10;12.7;310;eor
722;2023052317;10;11.9;310;eor
722;2023052318;10;13.6;320;eor
722;2023052319;10;11.3;320;eor
722;2023052320;10;10.6;330;eor
722;2023052321;10;12.4;330;eor
722;2023052322;10;12.8;330;eor
722;2023052323;10;12.3;320;eor
722;2023052400;10;11.1;310;eor
722;2023052401;10;11.1;310;eor
722;2023052402;10;10.7;310;eor
722;2023052403;10;11.4;310;eor
722;2023052404;10;12.7;320;eor
722;2023052405;10;11.6;320;eor
722;2023052406;10;9.6;330;eor
722;2023052407;10;9.5;320;eor
722;2023052408;10;8.2;340;eor
722;2023052409;10;7.9;340;eor
722;2023052410;10;6.3;330;eor
722;2023052411;10;7.2;340;eor
722;2023052412;10;4.8;330;eor
722;2023052413;10;4.8;340;eor
722;2023052414;10;4.5;340;eor
722;2023052415;10;4.1;340;eor
722;2023052416;10;4.4;340;eor
722;2023052417;10;4.5;350;eor
722;2023052418;10;4.5;350;eor
722;2023052419;10;4.3;360;eor
722;2023052420;10;4.9;350;eor
722;2023052421;10;4.4;350;eor
722;2023052422;10;3.4;340;eor
722;2023052423;10;4.8;360;eor
722;2023052500;10;5.1;360;eor
722;2023052501;10;5.8;350;eor
722;2023052502;10;5.5;350;eor
722;2023052503;10;4.5;340;eor
722;2023052504;10;5.0;360;eor
722;2023052505;10;4.9;360;eor
722;2023052506;10;4.5;360;eor
722;2023052507;10;4.4;10;eor
722;2023052508;10;4.9;10;eor
722;2023052509;10;4.4;10;eor
722;2023052510;10;3.2;360;eor
722;2023052511;10;4.2;360;eor
722;2023052512;10;4.9;10;eor
722;2023052513;10;5.3;360;eor
722;2023052514;10;5.4;360;eor
722;2023052515;10;5.2;360;eor
722;2023052516;10;4.9;350;eor
722;2023052517;10;5.1;350;eor
722;2023052518;10;6.2;340;eor
722;2023052519;10;6.6;350;eor
722;2023052520;10;9.4;360;eor
722;2023052521;10;9.9;360;eor
722;2023052522;10;9.5;350;eor
722;2023052523;10;8.9;350;eor
722;2023052600;10;6.6;360;eor
722;2023052601;10;6.7;20;eor
722;2023052602;10;5.6;30;eor
722;2023052603;10;5.5;50;eor
722;2023052604;10;5.7;50;eor
722;2023052605;10;4.6;50;eor
722;2023052606;10;4.0;40;eor
722;2023052607;10;4.0;20;eor
